idna_subject,checker_type,destination,tested_at
redhotfreebies.co.uk,AVAILABILITY,origin.list,2023-06-18 05:05:54.512606
www.nero-us.com,AVAILABILITY,origin.list,2023-06-18 05:05:54.707961
www.defenderxtactical.com,AVAILABILITY,origin.list,2023-06-18 05:05:54.921507
www.otherinbox.com,AVAILABILITY,origin.list,2023-06-18 05:05:55.418427
creditauthpagev3.info,AVAILABILITY,origin.list,2023-06-18 05:05:55.475150
www.creditauthpagev3.info,AVAILABILITY,origin.list,2023-06-18 05:05:56.839606
www.7minuteworkout.com,AVAILABILITY,origin.list,2023-06-18 05:05:56.816070
www.gtradersoft.com,AVAILABILITY,origin.list,2023-06-18 05:05:56.910473
www.tinaborg.com,AVAILABILITY,origin.list,2023-06-18 05:05:59.701639
www.onlineloan-personal.net,AVAILABILITY,origin.list,2023-06-18 05:06:00.866456
news.nero-us.com,AVAILABILITY,origin.list,2023-06-18 05:06:01.404814
www.thedatingconference.com,AVAILABILITY,origin.list,2023-06-18 05:06:02.261062
www.arklighting.co,AVAILABILITY,origin.list,2023-06-18 05:06:02.231735
www.playlott.com,AVAILABILITY,origin.list,2023-06-18 05:06:02.607448
www.novastarled.com,AVAILABILITY,origin.list,2023-06-18 05:06:03.926641
